市,人口2005,人口2015,change,,,,,,
昆明市,6086000,6677000,0.097108117,,,,,,
曲靖市,5658000,6047000,0.068752209,,,,,,
玉溪市,2214000,2362000,0.066847335,,,,,,
保山市,2442000,2581000,0.056920557,,,,,,
昭通市,5075000,5430000,0.069950739,,,,,,
丽江市,1203000,1280000,0.06400665,,,,,,
普洱市,2566000,2605000,0.015198753,,,,,,
临沧市,2361000,2509000,0.062685303,,,,,,
楚雄市,2657000,2733000,0.028603688,,,,,,
红河哈尼族彝族自治州,4312000,4650000,0.0783859,,,,,,
文山市,3371000,3607000,0.070008899,,,,,,
西双版纳傣族自治州,1050000,1164000,0.108571429,,,,,,
大理市,3471000,3544000,0.021031403,,,,,,
德宏傣族景颇族自治州,1151000,1279000,0.111207646,,,,,,
怒江市,520000,542000,0.042307692,,,,,,
迪庆藏族自治州,369000,408000,0.105691057,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
source：,,,,,,,,,
2006年云南统计年鉴：各地区户数、人口数及构成（2005）,,,,,,,,,
2016年云南统计年鉴：15-2  各州市户数、人口数及构成(2015年),,,,,,,,,
