市,人口2005,人口2015,change
呼和浩特市,2580000,3059600,0.185891473
包头市,2430000,2829300,0.164320988
呼伦贝尔市,2702000,2526500,-0.064951887
兴安盟,1600000,1599100,-0.0005625
通辽市,3095000,3120800,0.008336026
赤峰市,4393000,4299500,-0.021283861
锡林郭勒盟,1006000,1042600,0.03638171
乌兰察布市,2154000,2111300,-0.019823584
鄂尔多斯市,1495000,2045100,0.367959866
巴彦淖尔市,1732000,1677300,-0.031581986
乌海市,465000,555800,0.195268817
阿拉善盟,212000,243500,0.148584906
,,,
,,,
,,,
,,,
source：,,,
2006年内蒙古统计年鉴：22-2 各盟市年末常住人口(2005年),,,
2016年内蒙古统计年鉴：22-2各盟市年末常住人口（2015年）,,,
