市,人口2005,人口2015,change
合肥市,6600425,7177200,0.087384524
淮北市,2105230,2165000,0.028391197
亳州市,5501373,6349500,0.154166424
宿州市,6045168,6495100,0.07442837
彭埠市,3493330,3763500,0.077338814
阜阳市,9327629,10426500,0.11780818
淮南市,2357750,3833900,0.62608419
滁州市,4356225,4490600,0.030846662
六安市,6810005,5805300,-0.147533666
马鞍山市,2348619,2285000,-0.027087833
芜湖市,3663803,3847900,0.050247516
宣城市,2735630,2799500,0.023347456
铜陵市,722222,1704300,1.359800726
池州市,1563133,1616100,0.033885152
安庆市,6055158,5254800,-0.132177889
黄山市,1469356,1476900,0.005134222
,,,
,,,
,,,
note:,,,
2011年，原地级巢湖市管辖的庐江县划归合肥市管辖。无为县划归芜湖市管辖。和县的沈巷镇划归芜湖市鸠江区管辖。含山县、和县（不含沈巷镇）划归马鞍山市管辖。因数据有限，2005年和县沈巷镇的人口也算在马鞍山市里。,,,
,,,
,,,
source:,,,
2006年安徽省统计年鉴：4—25  各市、县、区户数、人口数（2005年）,,,
2016年安徽省统计年鉴：3—29  各市、县、区户数、人口数（2015年）,,,
