市,人口2005,人口2015,change
太原市,3428500,4318675 ,0.259639784
大同市,3119400,3406380 ,0.091998461
阳泉市,1302300,1398283 ,0.07370268
长治市,3234100,3420437 ,0.057616338
晋城市,2205400,2314977 ,0.049685771
朔州市,1507200,1762225 ,0.169204485
晋中市,3080300,3335694 ,0.082912054
运城市,4984800,5275312 ,0.05827957
忻州市,3038800,3141323 ,0.033737989
临汾市,4120500,4435653 ,0.076484165
吕梁市,3530800,3832237 ,0.08537357
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
source：,,,
2006年山西统计年鉴：17-1  总户数、总人口数 (2005年),,,
2016年山西统计年鉴：19-7总户数、常住人口数（2015年）,,,
