市,人口2005,人口2015,change
乌鲁木齐市,1941500,2668300,0.37434973
克拉玛依市,255100,299700,0.174833399
石河子市,641600,632600,-0.014027431
吐鲁番市,584300,651900,0.115693993
哈密地区,539900,616700,0.142248565
昌吉回族自治州,1578600,1392800,-0.117699227
伊犁哈萨克自治州,4193100,4696300,0.120006678
伊犁州直属县(市),2596100,3004200,0.157197334
塔城地区,966800,1024200,0.059371121
阿勒泰地区,630200,668000,0.059980958
博尔塔拉蒙古自治州,458100,479700,0.047151277
巴音郭楞蒙古自治州,1170800,1393800,0.190468056
阿克苏地区,2264900,2530500,0.117267871
克孜勒苏柯尔克孜自治州,476100,596100,0.252047889
喀什地区,3694100,4499200,0.217942124
和田地区,1825100,2324300,0.273519259
,,,
,,,
,,,
,,,
source：,,,
2006年新疆统计年鉴：21-2 各地、州、市人口状况,,,
2016年新疆统计年鉴：20-2  各地、州、市人口状况,,,
