市,人口2005,人口2015,change
南京市,5958000,6534000,0.096676737
无锡市,4528400,4809000,0.061964491
徐州市,9253100,10287000,0.111735526
常州市,3516300,3708500,0.054659728
苏州市,6073100,6670100,0.09830235
南通市,7708600,7667700,-0.005305762
连云港市,4721800,5305600,0.12363929
淮安市,5277700,5644500,0.069499972
盐城市,7986700,8280300,0.036761115
扬州市,4563100,4611200,0.01054108
镇江市,2676100,2716700,0.015171331
泰州市,5020500,5078500,0.011552634
宿迁市,5245400,5862800,0.11770313
,,,
,,,
,,,
,,,
,,,
source：,,,
2006年江苏统计年鉴：20-1　人口　（2005年）,,,
2016年江苏统计年鉴：20-1　人口　（2015年）,,,
