市,人口2005,人口2015,change
郑州市,7160000,9570000,0.336592179
开封市,4710000,4540000,-0.036093418
洛阳市,6350000,6710000,0.056692913
平顶山市,4840000,4960000,0.024793388
安阳市,5210000,5120000,-0.017274472
鹤壁市,1460000,1610000,0.102739726
新乡市,5570000,5720000,0.026929982
焦作市,3400000,3530000,0.038235294
濮阳市,3550000,3610000,0.016901408
许昌市,4250000,4340000,0.021176471
漯河市,2490000,2630000,0.0562249
三门峡市,2280000,2250000,-0.013157895
南阳市,9960000,10020000,0.006024096
商丘市,7610000,7270000,-0.044678055
信阳市,6630000,6400000,-0.034690799
周口市,9940000,8810000,-0.113682093
驻马店市,7770000,6960000,-0.104247104
济源市,660000,730000,0.106060606
巩义市,800000,820000,0.025
兰考县,730000,630000,-0.136986301
汝州市,930000,930000,0
滑县,1150000,1110000,-0.034782609
长垣县,800000,750000,-0.0625
邓州市,1320000,1430000,0.083333333
永城市,1270000,1230000,-0.031496063
固始县,1240000,1080000,-0.129032258
鹿邑县,1070000,890000,-0.168224299
新蔡县,940000,840000,-0.106382979
,,,
,,,
,,,
,,,
,,,
source：,,,
2016河南统计年鉴：4-3各市常住人口数,,,
