市,人口2005,人口2015,change
长沙市,6209200,7431800,0.196901372
株洲市,3779600,4000500,0.058445338
湘潭市,2906200,2823700,-0.028387585
衡阳市,7226100,7337500,0.015416338
邵阳市,7440000,7261700,-0.023965054
岳阳市,5369000,5629200,0.048463401
常德市,6083400,5843900,-0.039369432
张家界市,1601200,1524000,-0.04821384
益阳市,4606000,4410200,-0.04250977
郴州市,4608800,4730200,0.026340913
永州市,5748600,5429700,-0.055474376
怀化市,4983700,4901600,-0.016473704
娄底市,4075800,3871800,-0.050051524
湘西州,2683400,2634500,-0.01822315
,,,
,,,
source：,,,
2006年湖南统计年鉴：18-1  各市、州、县年末人口(2005年),,,
2016年湖南统计年鉴：19-9年末常住人口（2015年）,,,
