市,人口2005,人口2015,change
沈阳市,6986000,7304000,0.045519611
大连市,5653000,5936000,0.050061914
鞍山市,3476000,3482000,0.001726122
抚顺市,2244000,2174000,-0.031194296
本溪市,1564000,1520000,-0.028132992
丹东市,2424000,2395000,-0.011963696
锦州市,3083000,3053000,-0.009730782
营口市,2305000,2333000,0.012147505
阜新市,1927000,1910000,-0.008822003
辽阳市,1820000,1799000,-0.011538462
盘锦市,1259000,1292000,0.026211279
铁岭市,3026000,3020000,-0.001982816
朝阳市,3387000,3406000,0.005609684
葫芦岛市,2737000,2807000,0.025575448
,,,
source：,,,
2006年辽宁省统计年鉴：4—4??各地区年末总户数及总人口,,,
2016年辽宁省统计年鉴：4—4??各地区年末总户数及总人口,,,
