市,人口2005,人口2015,change
西安市,7417263 ,8156561,0.099672615
铜川市,843985 ,836444,-0.008934993
宝鸡市,3695294 ,3845440,0.040631679
咸阳市,4942590 ,5275892,0.067434685
渭南市,5370644 ,5567154,0.036589653
延安市,2107003 ,2355017,0.117709372
汉中市,3765641 ,3852105,0.022961297
榆林市,3383799 ,3774565,0.115481446
安康市,2949358 ,3047999,0.033444906
商洛市,2419811 ,2510056,0.037294235
杨凌示范区,147475 ,189948,0.288001356
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
source：,,,
2006年陕西统计年鉴：陕西省2005年各市县总户数和总人口数统计,,,
2016年陕西统计年鉴：4-7  各市、县(市、区)总户数和户籍人口数(2015年),,,
