市,人口2005,人口2015,change
哈尔滨市,9748430,9613743,-0.01382 
齐齐哈尔市,5569906,5493897,-0.01365 
鸡西市,1913798,1811696,-0.05335 
鹤岗市,1098804,1056070,-0.03889 
双鸭山市,1502230,1474346,-0.01856 
大庆市,2664100,2774848,0.04157 
伊春市,1287905,1211895,-0.05902 
佳木斯市,2364345,2291936,-0.03063 
七台河市,884339,831095,-0.06021 
牡丹江市,2601957,2550229,-0.01988 
黑河市,1746402,1679423,-0.03835 
绥化市,5617882,5485074,-0.02364 
大兴安岭市,535104,472416,-0.11715 
绥芬河市,61000,70190,0.15066 
抚远市,86000,83563,-0.02834 
,,,
,,,
,,,
,,,
,,,
source：,,,
2016年黑龙江统计年鉴：2-6  分地区年末人口数(2015年),,,
2006年黑龙江统计年鉴：3-6  各地区年末人口数（2005）&   附录1  续表1 CONTINUED,,,
,,,
note：,,,
绥芬河市在中华人民共和国黑龙江省东部，是牡丹江市下辖的一個县级市。2011年黑龙江省确定五个省直管县，该县级市为首批试点的两个县之一，行政级别副地厅级，副处级以上干部和财政权归省直管，司法、人大和政协归牡丹江市管辖。,,,
2011年，黑龙江省确定五个省直管县，抚远县为首批试点的两个县之一，行政级别副地厅级，副处级以上干部和财政权归省直管，司法、人大和政协归佳木斯市管辖。,,,
