区县,人口2005,人口2015,change
  浦东新区,3677600,5474900,0.488715467
  黄浦区,780100,658600,-0.155749263
  徐汇区,985900,1089100,0.104675931
  长宁区,671800,691100,0.028728788
  静安区,256500,236900,-0.076413255
  普陀区,1106000,1288000,0.164556962
  闸北区,758100,837100,0.104207888
  虹口区,782600,809400,0.034244825
  杨浦区,1203200,1315200,0.093085106
  宝山区,1305400,2022900,0.549639957
  闵行区,1707600,2537900,0.486237995
  嘉定区,942800,1568000,0.663131099
  金山区,592100,798000,0.347745313
  松江区,885800,1760200,0.987130278
  青浦区,737500,1209100,0.639457627
  奉贤区,734400,1159900,0.579384532
  崇明县,656800,696400,0.060292326
,,,
,,,
,,,
note:,,,
卢湾区并入黄浦区,,,
南汇区并入浦东新区,,,
,,,
,,,
Source:,,,
2005年上海统计年鉴：表3.3    各区、县土地面积、常住人口及人口密度 (2005),,,
2015年上海统计年鉴：表2.2 各区、县土地面积、常住人口及人口密度（2015）,,,
