市,人口2005,人口2015,change
重庆市,27980000,30165500,0.078109364
万州区,1516400,1607400,0.060010551
黔江区,440300,462000,0.049284579
涪陵区,1013200,1140800,0.125937623
渝中区,697800,649500,-0.069217541
大渡口区,262300,332700,0.268394968
江北区,650700,849800,0.305978177
沙坪坝区,862400,1128300,0.308325603
九龙坡区,946500,1186900,0.253988378
南岸区,667600,858100,0.285350509
北碚区,673500,786200,0.167334818
渝北区,861600,1550900,0.800023213
巴南区,832700,1005800,0.207877987
长寿区,751800,824300,0.096435222
江津区,1265400,1331900,0.052552553
合川区,1272900,1360600,0.068897792
永川区,922700,1096100,0.187926737
南川区,543500,564300,0.038270469
綦江区,835300,1078400,0.291033162
大足区,761900,763900,0.002625016
璧山区,513600,725200,0.411993769
铜梁区,620000,687200,0.108387097
潼南区,710700,682300,-0.039960602
荣昌区,650900,701000,0.076970349
梁平县,713500,664000,-0.069376314
城口县,192100,186300,-0.030192608
丰都县,645000,595600,-0.076589147
垫江县,727200,676700,-0.069444444
武隆县,347900,346700,-0.003449267
忠县,746700,708000,-0.051828043
开县,1159900,1170700,0.009311148
云阳县,1017100,896600,-0.118474093
奉节县,860300,753300,-0.124375218
巫山县,501000,462300,-0.077245509
巫溪县,444600,391000,-0.120557805
石柱县,434700,386500,-0.110881067
秀山县,500500,491300,-0.018381618
酉阳县,576500,556500,-0.034692108
彭水县,542500,506400,-0.066543779
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
source：,,,
2016年重庆市统计年鉴：20-1 各区县户数和人口数（2015数）（常住人口）,,,
2006年重庆市统计年鉴：19－1 各区县（自治县、市）人口（2005年）（常住人口）,,,
